#RP       5p            10p           15p           20p           25p          30p           35p            40p            45p           50p
1         2.16552       3.08202       4.51254       6.56385       8.89899      13.31107      15.57693       18.31127       20.73188      23.75574
3         4.54236       14.1732       21.5243       29.8181       36.8005      43.67325      49.56389       54.78446       59.53757      63.997971923
5         8.42209       22.4595       34.5152       44.7641       53.5238      61.81142      68.11940       73.95224       79.47865      84.000544539
10        8.02490       19.0900       27.5464       37.2716       45.7907      53.06826      62.55369       71.38850       78.79728      84.481161206
15        3.11885       7.46806       25.6029       39.5042       48.5519      56.53919      61.85784       69.26358       78.38834      85.67810915
20        4.91238       11.1790       22.4836       39.0388       50.7108      57.83758      64.89178       69.48597       78.43225      86.894620663
30        0.74299       7.73711       32.8419       48.8611       56.4859      64.17997      68.18892       73.70111       76.99933      86.27445069
50        1.52738       23.1892       39.3052       49.4764       61.1366      68.34185      76.42594       79.39865       80.68849      86.414535163
75        7.84778       24.3673       43.3684       52.1000       64.1946      73.06063      77.55606       83.37458       84.29934      86.828865949
100       15.6269       27.0665       44.7238       54.0459       66.5289      73.21939      80.21570       83.17115       88.23755      87.1528281387
120       17.0873       28.6320       44.6756       55.0745       66.2059      76.11317      79.72736       84.89209       88.32747      87.9656438536
150       12.4474       31.7556       46.1132       56.0064       66.4648      76.05111      81.53072       85.36619       89.52778      89.4335127439
