#RP     55p        60p        65p     70p       75p       80p        85p        90p       95p     100p
1       27.5       29.9       32.5    35.3      37.8      40.5       42.5       45.0      46.6    48.6
3       68.6       72.0       75.8    79.3      82.4      85.6       88.1       90.6      92.8    94.5
5       88.0       91.2       93.7    94.8      95.5      96.1       96.5       97.0      97.5    97.9
10      90.0       93.4       95.0    96.2      97.1      98.2       98.8       98.7      99.1    98.8
15      90.9       93.7       95.5    97.8      98.8      98.8       99.1       98.6      98.8    98.8
20      91.1       93.9       97.3    99.0      98.9      98.9       98.8       98.8      98.8    98.8
30      90.5       95.6       98.7    99.0      98.6      98.8       98.9       98.8      99.2    98.8
50      91.6       98.7       98.8    98.9      98.8      98.8       99.0       99.1      98.9    98.8
75      93.5       98.6       98.8    98.8      99.1      98.8       98.8       98.7      98.8    98.8
100     95.0       98.8       98.8    98.8      98.8      98.7       98.7       98.9      99.0    99.0
120     96.3       98.7       98.8    98.7      98.8      99.1       98.7       99.2      98.9    99.1
150     95.7       98.8       98.8    98.8      99.0      98.8       98.9       98.7      98.9    99.0
