Delay: 0
Buffer: 25n
Running 10s test @ http://localhost:10025
  1 threads and 10 connections
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    13.63ms   11.63ms  50.26ms   37.30%
    Req/Sec   831.95    162.34     1.19k    69.00%
  8289 requests in 10.01s, 611.55KB read
  Socket errors: connect 0, read 10537, write 0, timeout 0
  Non-2xx or 3xx responses: 1236
Requests/sec:    828.33
Transfer/sec:     61.11KB
Percentile, Latency
1, 8
2, 9
3, 11
4, 11
5, 12
6, 13
7, 16
8, 49
9, 481
10, 492
11, 503
12, 519
13, 541
14, 575
15, 609
16, 646
17, 691
18, 741
19, 795
20, 863
21, 930
22, 989
23, 1054
24, 1123
25, 1194
26, 1278
27, 1357
28, 1423
29, 1492
30, 1571
31, 1622
32, 1676
33, 1750
34, 1827
35, 1906
36, 1986
37, 2085
38, 2284
39, 2899
40, 9957
41, 11773
42, 12207
43, 12776
44, 13598
45, 14108
46, 14489
47, 14721
48, 15024
49, 15243
50, 15419
51, 15585
52, 15763
53, 15886
54, 16026
55, 16143
56, 16273
57, 16417
58, 16534
59, 16647
60, 16768
61, 16886
62, 17010
63, 17144
64, 17285
65, 17423
66, 17560
67, 17686
68, 17887
69, 18370
70, 19031
71, 19408
72, 21295
73, 24722
74, 25786
75, 26284
76, 26624
77, 26893
78, 27165
79, 27393
80, 27557
81, 27739
82, 27889
83, 28015
84, 28164
85, 28288
86, 28420
87, 28551
88, 28671
89, 28780
90, 28910
91, 29031
92, 29159
93, 29307
94, 29449
95, 29602
96, 29722
97, 29889
98, 30351
99, 38554
